Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
20,동화약품,제약,1.11,0.94,0.8,0.73,0.72,0.71,0.76,0.74,0.75,0.63,0.6,0.52,0.46,12.69,18.19,15.52,14.17,13.99,12.73,13.6,13.19,13.37,8.59,8.12,7.05,6.29
40,KR모터스,운송장비·부품,6.01,5.9,5.04,4.35,3.91,5.38,4.76,4.41,1.19,1.47,0.97,0.8,0.68,,,,,,,,,,,,,
50,경방,유통,0.54,0.5,0.42,0.37,0.36,0.34,0.3,0.28,0.29,0.26,0.23,0.21,0.22,29.15,17.08,14.38,12.68,12.37,58.89,52.21,47.6,49.47,,,,
70,삼양홀딩스,기타금융,0.51,0.36,0.31,0.29,0.32,0.32,0.3,0.3,0.3,0.27,0.28,0.27,0.24,6.61,2.66,2.29,2.16,2.39,8.15,7.68,7.55,7.65,3.11,3.21,3.16,2.8
80,하이트진로,음식료·담배,2.25,2.27,1.9,1.67,1.55,1.35,1.2,1.32,1.27,1.32,1.32,1.31,1.23,27.22,34.42,28.84,25.38,23.56,18.02,16.02,17.52,16.84,40.31,40.34,40.17,37.61
100,유한양행,제약,2.17,1.89,1.84,1.96,1.86,1.99,2.4,2.33,2.51,2.68,3.91,4.74,4.59,19.04,35.67,34.74,37.09,35.19,41.68,50.36,48.77,52.57,40.6,59.27,71.8,69.53
120,CJ대한통운,운송·창고,0.86,0.69,0.64,0.49,0.48,0.45,0.43,0.53,0.72,0.62,0.53,0.47,0.49,22.23,66.65,62.44,47.61,46.32,9.75,9.5,11.57,15.74,10.76,9.23,8.2,8.5
140,하이트진로홀딩스,기타금융,0.62,0.57,0.49,0.44,0.41,0.37,0.35,0.34,0.35,0.37,0.38,0.39,0.36,4.28,8.7,7.47,6.7,6.38,6.65,6.2,6.16,6.24,221.49,223.69,230.03,214.76
150,두산,기타금융,1.38,0.69,0.62,0.71,0.76,0.96,1.05,0.85,1.03,1.93,1.88,2.36,3.43,,7.1,6.35,7.25,7.82,,,,,,,,
180,성창기업지주,일반서비스,0.32,0.3,0.25,0.23,0.26,0.22,0.21,0.2,0.21,0.21,0.19,0.15,0.15,31.1,26.54,22.34,20.85,22.69,,,,,,,,
210,DL,화학,0.9,0.37,0.38,0.36,0.33,0.27,0.22,0.26,0.28,0.32,0.29,0.22,0.2,4.61,1.52,1.58,1.5,1.37,17.94,14.67,17.17,19.06,,,,
220,유유제약,제약,1.21,1.11,1.0,0.96,0.94,0.93,0.79,0.81,0.84,0.81,0.81,0.73,0.77,91.92,,,,,,,,,,,,
230,일동홀딩스,제약,1.27,7.19,5.91,5.86,3.26,11.13,10.74,9.95,9.13,2.43,2.38,2.14,1.9,,,,,,,,,,,,,
